,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
1,[511.93878 515.91156],[511.8487 524.0132],,,,,,,,,,,,,,,,,,,,,,,[496.61682 529.9159 ],[496.15317 526.13513],[498.94244 527.3957 ],[502.3642 537.7593],[500.71683 542.54865],[498.2843 548.3823],[510.03604 544.69366],[504.19672 544.5574 ],[510.37692 543.0846 ],[504.14853 548.4257 ],[503.9914 543.75  ],[496.60962 532.1551 ],[494.44278 525.65173],[496.1188  532.03467],[502.01514 552.2273 ],[502.81897 560.93964],[509.45523 558.18286],[515.07086 570.33856],[511.2808  567.18225],[506.60938 558.96094],[513.775   540.36664],[516.6923  542.24615],[517.8077 548.3269],[519.  541.5],[517.      533.13336],[517.67645 534.94116],[517.75 533.25],,[516.7111  541.24445],[514.6377 536.7536],[519. 541.],[517.8158 536.4737],[515.1667  539.00757],[514.7105 540.2237],[518.48 534.8 ],[514.97437 532.7308 ],[518.375 528.5  ],,[517.93475 533.45654],[519.  532.4],[518.     529.5373],[518.0227 530.5455],[515.3949 539.586 ],[516.6622 549.6486],[515.5234  550.73834],[515.71155 552.88464],[517.36 546.52],[515.71716 551.6667 ],[515.3431 549.5256],[512.81915 558.6117 ],[518.2692 552.3077],[518.1923  548.88464],[517.3269 551.5769],[517.7   551.275],,[517.3333 548.875 ],[515.91766 551.2118 ],[518.2083 551.2083],[514.1111 551.453 ],[516.14667 552.76   ],[517.38464 551.6923 ],,[516.75   550.7031],[517.61536 551.38464],[518.3158 550.    ],,[518.3158 551.    ],[516.6301 555.4247]
2,[515.49493 660.0303 ],[517.82855 661.4286 ],,,,,,,,,,,,,[517.1818 659.9394],[516.4203 659.8261],[514.16406 656.90625],,,,[516.4429 652.1857],,[516.9643 658.7857],,,,,,,,,,,,,,,,,,,,,,,,[517.4792 667.6042],,,,,,,,[518.625 674.5  ],[517.45764 675.05084],,,,,,,[516.8409 665.1591],,[517.7742 667.1613],,[515.41095 673.34247],[517.67566 670.86487],[516.38574 670.6286 ],,[516.918  667.8033],[515.91 672.65],,[518.5833 665.    ],,[516.4458 663.3494],[517.4706 667.098 ],[519.  666.5],,[517.7381 664.7381],[517.79486 664.0769 ],,[516.8596 669.0175],[518.14813 669.     ],[518.6667 668.5   ],[518.1818 666.1818],[516.9322 664.7627],[516.95 663.65],[517.1321 662.9434],[518.2273 667.2273],[515.4231 665.2789],[515.8817 661.6667]
3,,[ 51.805195 509.15585 ],,,,,,,,,,,,,,,[ 58.264153 497.43396 ],,,,[ 55.17293 486.5263 ],[ 62.923077 479.4701  ],[ 55.107914 492.20862 ],[ 53.869564 481.5435  ],,[ 48.412846 477.4587  ],[ 53.349594 477.58536 ],[ 55.367817 485.63217 ],[ 44.682926 475.82925 ],[ 51.348484 477.5     ],[ 64.494736 474.9684  ],[ 55.592594 476.48148 ],[ 61.      476.54437],,[ 76.1     497.31818],[ 77.53719 506.04132],[ 77.8125 505.9732],,,,[ 76.573425 495.07693 ],[ 69.706665 504.36    ],[ 61.720722 502.04053 ],[ 69.276924 494.95386 ],[ 66.40777 495.08737],[ 67.23881 492.36566],[ 59.40441 499.91913],[ 72.055046 489.69724 ],,,,,,,,[ 66.53488 465.60464],[ 57.055557 460.94446 ],[ 56.894737 461.9158  ],[ 62.30682 457.4091 ],[ 54.55102 456.38776],[ 56.854168 450.29166 ],[ 53.126865 461.51492 ],[ 43.614174 461.49606 ],[ 48.884617 463.1846  ],[ 50.208694 464.2     ],[ 52.649124 460.78946 ],[ 48.72549 467.89215],[ 45.429825 463.07895 ],,[ 45.757576 480.72726 ],[ 49.774776 461.41443 ],[ 44.35965 464.7193 ],[ 45.17699 477.36282],[ 41.494846 472.84537 ],[ 33.82474 469.81787],[ 42.568493 482.68494 ],[ 40.67234 483.7447 ],[ 43.217392 481.50723 ],[ 50.3     478.96362],[ 45.687805 476.3951  ],[ 30.374046 467.8397  ],[ 31.331125 471.19867 ],[ 20.2406 481.5188],[ 20.702423 478.6159  ],[ 25.69403 484.66418],[ 25.238995 485.27673 ],[ 20.935484 488.21936 ],[ 20.288591 489.4094  ],[ 21.305555 489.58334 ],[ 24.163265 474.4592  ],[ 38.525425 479.25424 ],[ 44.555557 475.16666 ]
4,,,[ 16.571428 501.92856 ],[ 17.24812 501.66916],,,[ 22.459597 505.18686 ],[ 20.58209 511.12686],[ 26.088495 509.1416  ],[ 25.934525 512.0238  ],[ 26.647058 515.6544  ],[ 33.50633 513.6962 ],[ 27.684565 510.08054 ],[ 25.522293 505.47772 ],[ 19.475525 509.63635 ],[ 19.51634 508.93463],[  9.941559 514.9026  ],[ 11.443439 519.8778  ],[ 20.56 505.  ],[ 19.560976 499.4007  ],[  9.240964 503.63455 ],[ 13.879154 501.31723 ],[  7.357143 509.3     ],[  9.185054 502.78647 ],[ 10.412541 501.0198  ],[ 11.026058 497.2215  ],[ 17.50405 498.77124],[ 13.812865 507.1228  ],[  6.3023257 498.6279   ],[  3.4385965 503.9737   ],[ 15.256983 500.47485 ],,[ 30.910112 492.52808 ],,[ 25.820513 491.26495 ],[ 27.216982 495.43396 ],[ 25.061947 485.2301  ],[ 22.31783 494.17828],[ 25.54955 497.15317],[ 23.359375 508.58594 ],[ 26.372469 497.91498 ],[ 21.581818 490.28183 ],[ 14.818182 490.16364 ],[ 23.313433 486.71643 ],[ 23.626667 479.85333 ],[ 23.217821 488.9109  ],[ 19.47619 485.18094],[ 32.142857 484.1238  ],[ 25.752213 483.73453 ],[ 24.784946 485.4086  ],[ 24.42 483.36],[ 31.779411 481.35294 ],[ 28.555555 484.51587 ],[ 27.955883 480.18384 ],[ 42.703518 468.60803 ],[ 43.70925 466.64316],[ 48.666668 469.4341  ],[ 48.16129 469.48386],[ 54.921738 465.72174 ],[ 45.66102 466.1271 ],[ 49.941177 459.08087 ],[ 40.      453.55814],[ 30.25   450.7857],[ 38.387096 451.8387  ],[ 37.793816 451.6598  ],[ 38.86607 447.19644],[ 45.489582 458.0729  ],[ 53.376236 454.78217 ],[ 50.278847 457.5     ],,[ 59.14 453.73],[ 56.790478 456.81906 ],[ 49.64626 468.7755 ],[ 56.43299 460.0309 ],,[ 63.505493 456.3956  ],[ 63.28 458.5 ],[ 64.860214 455.5269  ],[ 70.57143 452.0989 ],[ 65.765305 449.4694  ],[ 61.8     451.37894],[ 66.89524 452.33334],[ 60.813084 448.62616 ],[ 56.162163 441.7027  ],[ 57.0125  438.28125],[ 72.51305 444.6174 ],[ 85.37342 440.98734],[ 88.97436 445.07693],[ 90.94768 445.94766],[ 95.85058 446.71646],[ 93.36842 437.8421 ],[ 96.061226 432.64285 ]
5,,,[375.06818    7.530303],[374.78378   19.162163],[379.60284   13.212766],[390.38583   34.188976],,,,,,,,,,,,,,,,,,,,,,,,,,,,[369.23685   35.980263],,,,,[381.89743   20.982906],,,,[390.18094   10.552381],[396.5246    11.647541],,[392.02533   20.310127],[387.1894    21.666666],[403.4563    31.106796],[394.35184  34.74074],[394.7686    34.090908],[385.63635   29.286713],[376.61078   23.682634],[380.1345    23.986206],[381.3496    21.796993],[379.2275  23.    ],[372.9956    19.903084],[385.86023   20.069893],[382.93073  24.1342 ],[388.45026   20.528795],[383.24536  17.     ],[388.807     14.118421],[391.9535    14.924418],[381.2745    10.777778],[383.11487   13.195946],[384.24203   10.433121],[383.04196    6.013986],[371.52274   12.522727],[374.5  11. ],[371.4874      5.1680675],,[375.84692     3.4489796],[373.3846      4.4529915],[373.96722   18.106558],,,,,,,,,[381.2126     5.937008],[372.38657     7.1596637],[378.74774    4.252252],[384.08694     3.1195652],[387.29578     2.4507043],[387.8         2.1333334],[386.62668   2.8    ],[389.71832     2.5633802],[394.31766     3.4705882],[387.169       2.3943663],[386.1875      1.5208334]
6,,,[479.4565  516.99274],[480.1745 520.047 ],[485.68967 519.08276],[480.13635 502.48294],[479.10303 518.95154],[477.7314 520.4171],[476.86264 516.39014],[476.0921 520.7105],[475.48865 526.6875 ],[483.33496 519.2266 ],[477.30768 518.6257 ],[477.16217 518.06305],[474.92783 522.26807],[479.7095 520.7821],[475.9192 531.6263],[478.54956 550.62164],[483.12903 525.7696 ],[487.71915 524.9957 ],[474.42615 524.8101 ],[483.08096 519.17816],[477.94223 534.19556],[482.43146 522.4677 ],[484.87827 522.8087 ],[487.9205 515.3945],[487.45364 522.1073 ],[489.9147  533.16113],[482.26865 521.1194 ],[479.17346 529.2296 ],[492.59778 528.18994],[481.94287 526.95715],[488.96982 526.05286],[499.36697 539.90826],[493.4179  525.10944],[486.86597 540.69073],[484.27777 536.0833 ],[483.94174 543.6699 ],[478.56732 559.1442 ],[468.2381 557.5333],,[463.25583 562.1453 ],[454.73026 559.0132 ],[446.19354 547.3495 ],[440.31146 536.1475 ],[439.7738 547.1746],[462.30768 541.6058 ],,[468.86273 542.8823 ],[470.01923 544.3461 ],[467.78217 540.4257 ],[473.72 541.23],[468.25473 545.18866],[468.3 540.7],[465.44116 541.14703],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,[492.5942  654.60144],[491.1111  654.92065],[495.2066 656.562 ],[505.9697  680.48486],,,,,,,,,,,[513.98474 671.73285],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,[510.80807   26.212122],[513.7888    28.931677],[518.2414   25.48276],,,,,,,,,,,,,,,,,,,,,,,,,,,,,[513.2545   36.48182],[516.2653   46.57143],[514.6     53.0875],[507.77884  46.5    ],[507.35513   54.140186],,[510.2745   61.92157],,,[512.23584   49.603775],[517.6406    49.703125],[518.28  59.6 ],[516.46375  56.31884],[511.7037    55.296295],,[515.04425   56.141594],[514.0645   57.48387],[511.8143   48.42857],[507.25235   41.925232],[513.19257  47.02222],[519.  40.],[517.8919    39.945946],[517.       39.38356],[510.74      43.833332],[506.075  28.2  ],[498.99286  17.9    ],,[501.40427   6.41844],,[496.05884   12.058824],[500.43802   16.578512],[498.1282   18.65812],[496.00854  15.51282],[490.3492    24.071428],[495.28   20.752],[488.94116   17.480392],,[495.65625   21.664062],[493.95587   27.463236],[493.07407   43.170372],[488.85577   57.057693],[475.425  43.9  ],[484.1087    53.927536],[474.37234  56.81915],[478.05554   58.566666],[478.4087    54.408695],[467.66916   54.842106],[466.8409    53.227272],[470.80768  51.8    ],,,,,,,,,,
9,,,,,[338.2073  490.23172],,,,[333.05713 478.14285],[334.60257 475.93588],[332.8305  484.45764],[338.8913  479.06522],[335.25397 476.01587],[336.1346  478.76923],[330.57144 475.67856],[327.94254 474.34482],[326.86154 488.1846 ],,[334.70392 476.32962],[336.2787  474.61475],[323.85455 478.26364],,,,,,,,,,,[338.60748 475.94394],[349.1837  471.85715],,[341.2436  476.56412],[338.04254 484.5248 ],[335.136 480.436],[323.91843 481.08762],[331.53937 509.25986],[329.55893 496.78326],[342.30338 506.65732],[333.79678 514.0054 ],[324.4909  511.76364],[335.15732 523.     ],[336.0625 515.5284],[333.29193 516.7826 ],[326.0629 513.1698],[341.72675 515.093  ],[332.59888 513.37854],[332.37704 512.1913 ],[330.30554 509.52222],[331.7143 513.2485],[325.65732 521.38763],[322.66092 517.77014],[322.30676 519.97546],[323.95483 519.29034],[329.8779 520.8837],[328.23685 520.0684 ],[336.83246 515.9424 ],[331.2275 513.7196],[337.6568  511.68048],[346.12308 514.2359 ],[336.69232 512.2981 ],[338.12558 512.893  ],[337.95813 513.1395 ],[338.02274 509.39545],[355.52332 509.71503],[359.81024 507.16922],[355.21 505.92],[350.      494.39362],[356.45  504.875],[355.10214 506.67206],[364.29825 506.29825],[363.26065 500.57977],[351.77142 493.70856],[356.64633 505.55487],[369.28156 490.91263],[371.64545 491.05453],[375.6271  488.72882],[367.      484.91306],[367.13043 488.74783],[367.08182 488.4    ],[362.06958 486.64346],[366.31625 485.75214],[370.5    484.4758],[369.96667 486.46667],[362.5     494.96875],,,[365.28 500.88],[358.8509  499.17545],[359.4     499.46487]
10,,,,,[375.989   491.74725],,[368.29126 490.17474],[368.60135 494.4257 ],[367.6124  492.52713],[366.9189  496.74326],[365.2 504.7],[372.78107 497.9349 ],[366.09875 497.21606],[367.04623 499.7052 ],[363.71667 502.96112],[366.46155 500.47928],[362.70786 507.85956],[365.19388 522.9286 ],[353.7072 543.2072],[358.     539.6429],[347.11066 544.68854],[355.78665 540.7378 ],[348.77985 549.4179 ],[348.94604 538.2158 ],[350.84412 542.25476],[348.7007  539.58453],[351.19574 542.8861 ],[353.48627 551.28235],[344.9884 543.8687],[343.79196 549.4197 ],[357.3     545.31854],[348.41922 543.6885 ],[353.90698 542.78296],[366.23685 527.4123 ],[351.95804 526.5524 ],[351.97385 533.0196 ],[349.4172  528.36426],[348.68048 535.4852 ],[341.3187  549.05493],[337.45728 543.83417],,[341.72836 548.2806 ],[320.80588 541.8176 ],[317.2097 552.0645],[318.83334 542.5    ],[310.89786 551.9516 ],[301.84302 550.8779 ],[315.7886 552.1626],[323.57938 559.7857 ],[326.3409 561.6439],[307.3611 549.0833],[305.7857 545.0762],[301.8087 555.4783],[300.55905 550.54333],[299.16794 553.2825 ],[297.7197  554.24243],[303.81396 556.1473 ],[302.0606 560.5455],[309.8855 555.0458],[301.16922 553.96924],[305.91156 551.6667 ],[315.32  554.832],[304.54385 547.0965 ],[299.73196 539.6598 ],[294.30695 542.0594 ],[292.7857 536.627 ],[286.4909  545.57574],[290.63504 537.9489 ],[286.02563 539.79913],,[290.4105 537.5284],[280.8905 536.073 ],[276.40588 550.98236],[279.7676 529.1268],[269.6397  521.47797],[277.1062  531.13275],[278.0926 533.8426],[280.6381  536.35236],[284.9375 533.3661],[279.3058  533.08264],[277.39166 532.925  ],[282.86487 534.30634],[278.2097  533.95966],[283.25146 536.52045],[285.75427 532.13715],[288.8387  522.19354],[284.8243 520.8108],[284.63095 522.75   ],[277.62903 523.74194],,,[279.05115 517.     ]
