,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[115.36    397.18668],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[116.921875 386.45312 ],,,,,[120.020134 382.14764 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 231.85715 1196.5    ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 243.5    1191.7747],[ 239.85365 1176.5853 ],[ 239.46988 1181.1205 ],,[ 245.34782 1174.     ],,[ 257.03964 1170.1586 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 269.5221 1167.0563],,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 263.55295 1024.6824 ],,,,[ 249.3038 1027.0507],[ 254.64178 1020.91046],,,[ 253.34 1021.33],[ 252.11627 1019.1977 ],,,[ 251.66667 1015.85   ],[ 251.08081 1017.899  ],[ 261.0309 1014.6804],,[ 261.5357  1009.82587],[ 259.73148 1007.7963 ],[ 262.70834 1009.5602 ],[ 257.88937 1014.06195],[ 260.0096 1009.0914],[ 256.95773 1008.6995 ],[ 255.45328 1007.2243 ],[ 263.65714 1007.4667 ],[ 261.97192 1010.5787 ],[ 267.80136 1008.7055 ],[ 261.45947 1007.3446 ],[ 269.13477 1000.21277],[ 274.4861 1004.1736],[ 264.771  1002.1756],[ 250.944 1003.264],[ 248.99371 1001.5346 ],[ 247.38889 1000.5486 ],[ 242.98877 1007.27527],[ 250.42487 1002.5337 ],[ 245.57591 1000.733  ],[ 249.2766 1020.3298],,,[ 246.32076 1011.69183],,,[ 259.94702 1005.60925],[ 258.80264 1007.3816 ],[ 261.9091 1007.0585],[ 267.6752  1007.97864],[ 265.87756 1013.4184 ],,[ 264.5  1017.01],,[ 262.11392 1016.62024],,[ 264.24847 1016.75757],[ 257.84042 1016.84045],[ 260.53613 1017.93976],[ 260.7    1016.6533],,[ 257.46225 1017.3585 ],
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 282.17743 1361.6532 ],,,,,[ 289.4527 1360.5608],[ 285.18674 1353.4398 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 290.84106 1352.1523 ],,[ 282.57693 1347.2885 ],,,,,,,,,,,,,,,[ 278.30658 1348.0365 ],[ 277.18692 1353.0935 ],[ 278.36893 1353.1165 ],[ 277.69388 1357.551  ],[ 275.78174 1357.4619 ],[ 277.85715 1353.1373 ]
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 298.82758 1056.5747 ],,,,,[ 301.0198 1048.2228],[ 291.68967 1043.462  ],,[ 294.8307 1032.2434],[ 292.2    1035.5533],[ 297.95206 1035.6028 ],[ 294.22516 1030.1458 ],[ 289.42105 1042.8948 ],,[ 290.06082 1034.4865 ],[ 282.2516 1036.3647],[ 282.2312 1036.0404],[ 280.80347 1036.0463 ],[ 286.5056 1037.1517],[ 281.1657 1042.5543],[ 281.    1035.416],[ 277.75626 1036.05   ],[ 273.07736 1035.6243 ],[ 278.93784 1036.5182 ],[ 279.96335 1037.1256 ],[ 286.7902 1032.9241],[ 279.03677 1031.1581 ],[ 283.81854 1027.7915 ],[ 289.2029 1032.3008],[ 280.88235 1031.4265 ],[ 283.89474 1035.5856 ],[ 283.5225 1032.5813],[ 284.14197 1033.8086 ],[ 281.83438 1043.5796 ],[ 289.2857 1040.6832],[ 282.12048 1039.5    ],[ 270.6542 1037.0233],[ 288.18073 1037.4097 ],[ 283.73294 1041.3296 ],[ 294.13208 1047.3899 ],[ 308.06625 1037.3735 ],[ 295.2716 1030.5555],[ 301.52664 1038.5266 ],[ 300.6871 1043.4908],[ 302.76828 1043.6158 ],[ 307.0305 1043.1586],[ 321.91666 1051.75   ],[ 318.97278 1049.1293 ],[ 323.22076 1051.3961 ],[ 317.0382 1053.8662],[ 320.80768 1054.1154 ],[ 324.43152 1053.363  ],[ 323.45325 1050.6691 ],[ 322.6331 1052.0863],[ 321.94965 1050.1151 ],[ 323.62238 1050.8182 ],[ 325.1857 1050.8071],[ 320.4189 1048.6149],
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 313.29523 1372.5048 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 322.6837 1370.8572],,,,,,,,,,,,,,,,[ 331.77585 1363.638  ],[ 332.86487 1362.5    ],,[ 333.52307 1357.4154 ],[ 324.23837 1351.1628 ],[ 316.55023 1347.268  ],[ 325.01514 1344.0101 ]
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 320.8154 1367.4615],,,,,[ 322.06122 1371.2694 ],,,,,[ 336.69662 1363.4438 ],[ 340.53333 1358.7722 ],[ 342.64285 1366.012  ],[ 333.3918 1363.269 ],[ 349.68182 1364.1428 ],[ 339.5774 1365.6012],[ 338.36258 1346.7018 ],[ 335.74268 1346.228  ],[ 342.79105 1350.194  ],[ 334.38596 1354.3275 ],[ 337.0108 1341.8757],[ 334.33334 1339.2821 ],[ 333.26028 1334.6506 ],[ 339.16666 1337.0449 ],[ 335.34167 1352.8833 ],[ 347.92307 1349.986  ],[ 349.76328 1356.0869 ],[ 359.17743 1346.5564 ],[ 355.6744 1334.093 ],[ 346.80682 1334.7614 ],[ 351.12848 1337.1676 ],[ 356.02173 1358.2174 ],[ 356.25333 1355.0333 ],[ 351.48572 1364.7786 ],[ 357.56293 1359.7947 ],[ 353.40298 1359.3209 ],[ 352.1117 1371.2926],[ 359.93985 1364.1428 ],[ 357.5893 1366.7053],[ 371.58228 1363.4177 ],[ 364.45386 1357.8385 ],[ 354.41406 1353.0312 ],[ 359.2676 1360.4436],[ 353.63235 1361.8015 ],[ 342.5056 1356.9944],[ 342.09573 1359.3829 ],[ 335.04395 1363.489  ],[ 332.94287 1364.3143 ],[ 337.2459 1366.2842],[ 333.71658 1371.4225 ],[ 336.6854 1374.2079],[ 340.12433 1377.681  ],[ 334.8421 1379.1211],[ 330.5282 1381.0615],[ 329.2044 1386.5912],[ 329.40607 1383.1515 ],[ 332.47742 1384.8839 ],[ 327.25165 1381.7152 ],[ 331.71347 1378.264  ]
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 322.2258 1289.8629],,,,,[ 326.67676 1290.9799 ],[ 326.11237 1283.8202 ],[ 321.58228 1296.9493 ],[ 314.21838 1306.2413 ],[ 308.53845 1306.6218 ],,,[ 316.45782 1305.8253 ],[ 306.7757 1305.7477],,,[ 314.80508 1307.5424 ],[ 314.26956 1305.6957 ],[ 319.33066 1308.8146 ],[ 310.32654 1299.3877 ],[ 308.     1294.0682],[ 302.69565 1292.5    ],,[ 310.21875 1289.9375 ],,,[ 305.7383 1297.4673],[ 315.6476 1292.0857],,[ 307.67798 1304.7288 ],[ 311.3125 1305.2031],[ 312.40768 1292.123  ],[ 310.75   1289.1034],[ 312.3944 1297.3785],,,[ 330.24167 1289.575  ],[ 327.1086 1298.8235],[ 325.02158 1299.633  ],[ 328.44   1295.5266],[ 333.07632 1291.1145 ],[ 321.29077 1283.4326 ],[ 327.90714 1291.5714 ],[ 342.72775 1289.7854 ],[ 343.87302 1289.381  ],[ 345.56436 1287.6683 ],[ 340.15735 1286.5889 ],[ 337.76923 1288.5973 ],[ 339.5658 1288.9562],[ 334.6798 1288.463 ],[ 339.8945 1287.5183],[ 343.45248 1286.4344 ],[ 343.4    1287.8182],[ 338.12244 1289.4653 ],[ 321.6015 1294.5188],,[ 327.25   1298.4166],[ 322.74783 1296.3566 ],[ 327.45764 1292.3306 ]
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 332.29926 1350.6642 ],,[ 320.87827 1347.2305 ],[ 321.77777 1346.2354 ],[ 320.00827 1351.5042 ],[ 329.9859 1352.5211],[ 326.96622 1344.7703 ],[ 342.54037 1341.4783 ],,,[ 335.8543 1333.2914],[ 337.75974 1324.3441 ],[ 336.556 1320.272],[ 330.55133 1318.7756 ],[ 345.7414 1319.3232],[ 338.75134 1317.1298 ],[ 342.0182 1317.194 ],[ 337.96402 1315.867  ],[ 350.46  1319.595],[ 344.85205 1325.102  ],[ 345.50494 1320.7079 ],[ 343.49252 1319.2786 ],[ 343.3901 1319.0275],[ 349.54456 1321.4258 ],[ 348.2275 1322.6349],[ 358.08853 1320.9271 ],[ 350.81052 1317.421  ],[ 358.84323 1312.7189 ],[ 365.3089 1318.4241],[ 355.18518 1317.4868 ],[ 357.0576 1319.1675],[ 357.4185 1320.2881],[ 353.8177 1315.9668],[ 344.18497 1323.4913 ],[ 346.54788 1317.75   ],[ 341.16306 1314.6631 ],[ 341.76343 1328.8118 ],[ 340.94736 1321.0922 ],[ 337.23718 1322.75   ],[ 341.9071 1323.2405],[ 344.2426 1317.8639],[ 334.06412 1312.9679 ],[ 340.86124 1305.3918 ],[ 336.5    1311.0272],[ 339.07883 1305.9917 ],[ 330.98572 1305.1714 ],[ 323.94937 1302.8861 ],[ 327.49728 1307.654  ],[ 334.22302 1310.5107 ],[ 327.11505 1311.5575 ],[ 333.86722 1305.9946 ],[ 344.03705 1300.9259 ],[ 341.80356 1303.6488 ],[ 339.4321 1304.8025],[ 338.6103 1291.7279],[ 339.53125 1290.9336 ],[ 345.16232 1308.6753 ],[ 341.19333 1306.8867 ],[ 342.05334 1302.2    ]
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 360.52728 1223.6909 ],[ 351.95804 1230.5525 ],[ 348.12 1224.12],[ 344.17197 1219.344  ],[ 338.44254 1222.8046 ],[ 331.53937 1213.2599 ],,[ 342.30338 1210.6573 ],[ 333.79678 1218.0054 ],[ 327.64368 1228.1265 ],[ 333.78094 1243.2    ],[ 345.1281 1239.274 ],[ 328.92307 1244.3334 ],[ 319.46155 1241.906  ],[ 322.14816 1248.8271 ],,[ 319.02173 1253.4565 ],[ 318.60226 1251.6818 ],[ 321.02063 1251.5566 ],[ 316.2255 1255.9803],[ 316.1031 1252.4227],[ 316.97974 1264.331  ],[ 315.2649 1262.6357],[ 321.7516 1263.7261],[ 320.39856 1264.7246 ],[ 327.52985 1260.4104 ],[ 320.19513 1257.6666 ],[ 323.69354 1253.4517 ],[ 332.9781 1257.4598],[ 324.24243 1257.2046 ],[ 307.9091 1254.2727],[ 303.9697 1255.1666],[ 301.97827 1251.1666 ],[ 296.48148 1259.7407 ],,,[ 303.79605 1262.1448 ],[ 313.23978 1242.5264 ],[ 311.5345 1246.8103],[ 314.01135 1262.3068 ],[ 315.92856 1243.4017 ],[ 304.8909 1238.0364],[ 315.05588 1246.4246 ],[ 314.97223 1249.7278 ],[ 316.18704 1252.5612 ],[ 319.77954 1250.7559 ],[ 314.97693 1249.4077 ],[ 315.26  1248.965],[ 317.9855 1251.8043],[ 311.77466 1251.1478 ],[ 317.63483 1249.7977 ],[ 322.32202 1248.9944 ],[ 318.3917 1250.4148],[ 314.60416 1250.9271 ],[ 314.69412 1252.6471 ],[ 309.4299 1251.6449],[ 312.20618 1255.4536 ],[ 309.08792 1254.5055 ],
