,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[406.0674   45.11236],[401.3426   50.62963],[396.66086  58.15652],[393.44446   53.627777],[384.4138   44.17931],[389.65152   52.146465],[387.47263  54.39801],[389.2388    54.437813],[381.68628  65.89216],,,[378.3955   66.50746],[385.93182  52.71212],[388.51382   54.088398],[392.1265    52.722893],[392.09357   52.216373],[389.19232   52.021976],[389.2822   52.34356],[389.07864   50.792133],[391.43564   52.559406],[388.36365   49.233765],[389.694     47.387978]
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[408.64062 659.71875],[403.7125 663.    ],[405.23038 663.40314],[401.85883 653.5529 ],[400.47778 649.8    ],[392.09525 644.80585],[391.47318 646.9811 ],[392.16882 647.20776],[397.07294 645.4498 ],[391.59744 644.40576],[389.50925 645.4568 ],[394.34064 646.2656 ],[388.57233 646.10065],[392.75906 646.7063 ],[415.6111 646.881 ],[416.67227 649.06305],[415.38492 651.3571 ],[415.60175 652.1082 ],[419.81442 651.73883],[423.63635 655.3515 ],[427.16364 677.9709 ],[431.94482 672.11035]
568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[438.64062 683.11456],[426.90195 683.57513],[426.05798 676.8261 ],[432.8042 678.4266],,[426.696 680.688],[424.25397 684.75397],,[421.8953  692.32983],,,[419.40677 691.8079 ],[414.50848 691.89264],[416.36957 693.58154],[402.3846 691.1731],[401.78723 690.5319 ],[400.0909 691.2273],[400.39395 691.24243],[402.3578  689.54126],[403.87628 692.0928 ],[397.8085 688.5851],[400.65277 682.7639 ]
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[444.0099    58.623764],[443.53607  62.84536],[447.374     67.544716],[450.4138    55.816093],[447.84286   50.485714],[454.5374    59.517006],[464.91412   52.325153],[467.26114  53.89172],[469.6478    51.735847],[464.52533   51.531647],[462.36914   52.577183],[468.065  52.3  ],[462.10657   52.668034],[454.1259    62.006992],[457.79053   61.033783],[456.67105   62.210526],[447.9586   57.66864],[447.51535   58.650307],[448.5657    57.971428],[453.03268   61.941177],[449.00516   59.618557],[448.73553  59.23967]
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[454.8843    35.578514],[451.55118   38.984253],[463.18182  39.46212],[456.89566   47.304348],[458.55   42.525],[453.0102   48.22449],[452.6602    52.271843],[454.83655   52.173077],[457.21738   50.913044],[453.3854    47.197918],[450.9005   45.59686],[456.48276   45.643677],[454.5126   41.54622],[460.9836    42.336067],[463.36298   40.874073],[460.4847    44.065502],[466.92404  54.57806],[466.19742  57.16738],[467.4292    56.530975],[471.20798   58.721237],[466.37787   57.479263],[468.50748   51.422886]
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 82.80741 191.15555],[ 80.29269 191.14635],,[ 73.70175 195.74562],[ 72.26282 201.60257],[ 70.0991  198.76576],[ 67.833336 200.35715 ],[ 70.86131 197.54744],[ 75.38356 195.39726],[ 71.244896 191.32654 ],[ 68.01111 187.63333],[ 72.26207 194.11725],[ 64.08654 194.1202 ],[ 56.25641 203.62393],[ 59.53846 202.24176],[ 60.474358 203.44017 ],[ 57.995632 202.76419 ],[ 64.087555 204.18893 ],[ 73.03226 220.53226],[ 74.99606 222.46063],[ 69.552124 220.48262 ],[ 76.875   220.40834]
572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  0. 519.],,,,[  1.8679246 516.9623   ],,,,[  6.8486485 517.6919   ],[  4.9586205 517.4069   ],[  8.8151655 517.3649   ],[  6.8944726 514.96985  ],[  8.472222 515.19446 ],[ 10.503937 513.3504  ],[ 14.815603 512.461   ],[ 15.555555 514.8472  ],[ 15.432 519.104],[ 12.376884 523.15076 ],[ 14.715686 527.1814  ],[ 14.276786 523.5536  ],[ 24.04    528.22284]
573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  2.4461539 473.87692  ],,[  2.6891892 469.51352  ],,[  1.0357143 468.2143   ],[  0.68421054 470.        ],[  1.1071428 471.32144  ],[  2.409091 473.19696 ],,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 42.92857 530.3304 ],[ 54.375 534.525],[ 55.014492 525.3551  ],[ 42.99254 517.8358 ],[ 44.283333 515.2167  ],[ 40.977142 519.43427 ],[ 47.372093 517.23834 ],[ 50.817204 518.8602  ],[ 44.867725 518.2434  ],[ 42.41398 519.94086],[ 45.902172 521.0761  ],[ 41.335052 522.01544 ],[ 49.971016 524.7923  ],[ 52.971962 524.5047  ],[ 52.42584 525.48804],[ 49.06468 524.4826 ],[ 48.735134 525.71893 ],[ 50.597157 525.0142  ],,[ 49.755 527.45 ],[ 54.110703 525.05164 ]
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 65.40476 497.67856],,[ 72.56061 491.12878],[ 82.048676 503.2876  ],[ 73.32258 497.91934],[ 73.02752 502.6055 ],[ 78.1157 497.1405],[ 81.580956 492.91428 ],[ 74.163795 490.      ],[ 85.17033 487.6978 ],[ 89.44444 491.71112],[ 99.142105 495.64212 ],[103.15847 497.2623 ],[107.69312 496.5132 ],[109.8     497.28204],[106.572914 498.35416 ],[105.09804 500.5147 ],[ 93.617645 495.47058 ],[ 96.60577 498.5721 ],[ 91.201004 496.73367 ],[ 90.13187 494.6813 ]
