,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
1,[ 53.176056 637.21124 ],[ 56.744526 644.365   ],,,,,,,,,,,,,,,,,,,,,[ 62.99329 633.302  ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[241.78787 305.45456],,,,,,,,,,,,,,,,,,,,,,,[235.16667 315.06522],[235.68098 321.31903],[232.33582 321.29105],[236.54744 321.0803 ],,,,,[237.0238  322.96033],[240.20833 321.02084],,,,,,,,[236.18939 320.29544],,,[233.35338 322.406  ],[231.90625 316.4375 ],[229.75807 329.53226],[225.  324.5],[236.70435 323.9913 ],,[231.09322 325.75424],[234.11864 323.89832],[235.01492 325.14926],,,,,[232.76991 325.177  ],[230.17117 326.3063 ],,[231.24562 321.8684 ],,,[237.35773 321.43903],[240.24615 321.94617],[238.84375 321.67188],[238.93651 318.7143 ],,,,,[238.63567 321.16278],,,[244.44067 318.14407],[234.01666 311.64166],[240.80702 320.66666],[240.4649  322.33334],[242.144 321.648],[244.41985 319.07632],[239.97081 318.0438 ],[236.52483 318.9078 ],[240.3806 319.7985],[233.82945 319.71317],[238.8372 319.2093],[242.38583 317.92126],[241.80672 319.26892],[240.88524 319.5    ],[240.84251 320.96063],[241.35658 319.969  ],[243.      322.74637],[238.88637 322.12878],[241.13637 316.03787]
3,[254.86586 310.     ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,[ 24.496504 637.8252  ],[ 23.242424 643.17426 ],[ 25.294117 640.4191  ],[ 38.65574 660.59015],[ 22.398375 639.36584 ],[ 23.488722 645.0226  ],[ 27.919117 640.30145 ],[ 31.983334 644.6667  ],[ 29.03876 651.8372 ],[ 36.688404 643.61597 ],[ 33.      642.30884],[ 28.4183  641.84314],[ 27.42069 643.731  ],[ 29.016129 642.871   ],[ 26.546154 649.66156 ],[ 29.395973 667.58386 ],[ 12.940171 670.1111  ],[ 17.446808 667.7092  ],[ 19.824675 651.3442  ],[ 26.90909 650.2308 ],[ 16.225563 662.218   ],[ 16.513699 652.8767  ],[ 17.666666 658.28986 ],[ 15.962026 655.62024 ],[ 17.018404 656.4785  ],[  6.3040543 646.3919   ],[ 12.740741 655.7531  ],[ 11.414966 659.2177  ],[ 22.915663 657.4036  ],[ 14.0887575 658.2663   ],[ 21.59859 650.74646],,[ 17.771605 653.5123  ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,[209.30302 306.01514],[206.89473 307.1504 ],[210.16911 305.89706],,[208.  302.5],[209.45946 305.8784 ],[209.95683 305.72662],[209.94737 311.609  ],[207.64122 319.2977 ],[215.79839 308.9516 ],[209.53957 301.56836],[210.06494 295.84415],[205.48227 302.6454 ],[207.7347  302.32654],[202.76596 308.97873],,[211.351   300.86093],[214.72327 301.49057],[203.78911 305.92517],[212.01949 302.54544],[206.44667 310.53333],[207.49678 305.04517],,,,,,,,,,,,,,,,,,,,[204.      305.24707],,[207.11333 304.62668],,,[204.44806 304.76624],[205.56494 307.14285],,,[205.83942 307.56204],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[217.01334 303.05334]
6,,,[222.13387 316.2756 ],[219.82979 323.38297],[223.09322 321.1356 ],[224.42963 334.77777],[232.8207  321.08276],[238.44 324.52],[240.55943 321.7832 ],[236.85106 324.27658],[240.04138 330.30344],[243.87805 324.73172],[241.656 326.088],[235.8686  324.58395],[230.64963 328.24817],[231.49207 317.42856],[225.27272 326.64337],[208.0443  328.31647],,,,,,,[210.20755 311.50943],[206.32515 315.62576],[209.25    315.92947],[212.48555 323.7688 ],[202.40625 313.26874],[201.54666 317.10666],[212.62251 314.09933],[202.89473 313.53946],[209.01227 312.57056],,[204.29411 309.71896],[204.84848 315.1394 ],[203.275 309.45 ],[200.68182 314.0341 ],,,[202.55367 309.98306],[199.26347 311.28143],[193.12659 307.25317],,[207.59184 295.0476 ],,[200.95804 301.3147 ],[211.69853 303.97058],,,[204.17809 303.363  ],[209.21428 303.3643 ],,[207.19719 302.5845 ],[204.71918 303.5959 ],[203.66891 304.6554 ],[210.69595 304.70947],[209.85    306.08572],[214.64    297.97333],[209.53947 294.6184 ],[217.22627 290.51096],[222.85811 294.48648],[213.      288.88815],[215.32666 293.57333],[214.34013 297.5034 ],[213.28572 294.80713],[207.76389 302.84723],[214.22223 299.66013],[209.75156 297.41614],,[210.57747 293.70422],[208.16216 299.30405],[209.09929 312.88654],[217.31334 294.10666],[205.91045 289.0597 ],[213.31334 299.43332],[212.40764 301.49683],[212.97917 301.13196],[218.31757 299.6081 ],[210.92949 298.08334],[208.6859 302.25  ],[213.0577  304.84616],[208.90968 309.67096],[215.01361 312.1837 ],[218.08276 310.92413],[217.86395 310.92517],[216.43225 308.71613],[216.0196 308.7451],[217.14    305.87332],[218.73334 308.47333],[214.17361 306.27084],[207.2     311.76154]
7,,,,,,[ 28.871286 691.9604  ],,,,,[ 14.5     691.81885],[ 24.835714 678.5571  ],[ 19.02027 676.17566],[ 16.59859 677.7042 ],[ 12.354838 676.29034 ],[ 12.338983 675.2542  ],[  5.192 682.528],[  9.82258 697.9758 ],,,,,,,,,,[ 17.347221 680.1528  ],[  7.4689655 670.4483   ],[  7.0872483 673.75836  ],[ 19.084507 670.3803  ],[  8.855072 670.96375 ],[ 18.737864 665.5825  ],[ 15.471337 682.4713  ],[ 13.903226 667.929   ],[ 15.426666 671.38666 ],[ 14.966216 668.08105 ],[ 11.842105 673.9276  ],[ 18.379488 681.02563 ],[ 14.2440195 672.4976   ],[ 20.080925 650.0636  ],[ 33.927418 648.94354 ],,,[ 20.366413 648.69464 ],[ 18.439655 658.1983  ],[ 12.756303 654.7227  ],[ 11.9375 648.6328],[  5.88189 649.13385],[  8.519608 648.77454 ],[  6.071429 648.0873  ],[  8.211055 649.5628  ],[  9.228572 652.59045 ],[ 10.837606 648.6496  ],[  6.5588236 648.10785  ],[  3.8888888 645.8642   ],[  8.844444 648.7     ],[  7.9468083 651.0106   ],[  9.29927 651.8905 ],[ 10.133333 644.7867  ],[ 17.75281 639.7977 ],[ 23.961538 644.66345 ],[ 30.180328 644.1721  ],[ 19.419355 641.1613  ],[ 17.368422 642.17896 ],[ 16.804598 640.1149  ],[  2.442857 641.17145 ],[  6.532258 636.70966 ],[  2.0597014 636.9403   ],,[  4.252101 630.58826 ],[  2.4533334 631.96     ],[  4.0551724 629.7793   ],[ 11.344828 626.84827 ],[  7.6698112 637.0566   ],[  5.4135337 628.2481   ],[  4.3305087 628.01697  ],[  4.9375 626.7578],[  6.611111 625.61804 ],,,,,[  2.7808218 626.2055   ],[  4.991453 624.5812  ],[  5.381356 626.29663 ],[  3.7171717 627.1616   ],[  3.8282828 628.6263   ],[  4.287037 627.4815  ],[  4.5  615.25],[  1.4146341 614.8293   ],[  1.5777777 609.6222   ]
8,,,,,,[244.24837 348.15686],,,,,,,,,,,,[224.81334 345.08667],[237.17693 329.1    ],[236.62837 326.3581 ],[230.44295 327.22147],[238.15749 322.75592],[236.09091 331.86365],,,,,[240.03947 331.51974],[233.37682 322.23187],[229.112 321.544],[235.69925 317.37595],,,,[232.74603 323.75397],[232.52632 330.0451 ],[229.06956 329.82608],[229.48299 330.0408 ],,,,[231.2612  325.71643],[225.     322.1855],,,,,,[229.13889 326.55554],,,,[230.5965 328.5   ],[232.51695 322.45764],[228.73874 323.46848],[226.40651 322.52844],,,[237.97247 323.3945 ],,[239.51352 318.24326],[245.21849 322.479  ],,,,,[232.9313  327.19083],[238.83594 324.33594],[233.90977 322.9925 ],,,[235.78294 323.6589 ],[235.813  338.5935],,,,,,,,,,,,,,,,,,,
9,,,,,,,[ 15.076923 666.10986 ],[ 17.745283 670.40564 ],[ 17.485714 669.1524  ],[ 15.79646 678.2832 ],,,,,,,,,,,[  7.6567163 670.82837  ],[ 16.5    667.6923],[ 10.228572 677.9     ],[ 12.5     668.21014],[ 14.137681 671.78986 ],[ 11.104895 669.2587  ],[ 13.962963 669.08887 ],[ 20.81081 665.3581 ],,,[ 22.033897 682.5085  ],,,[ 13.938356 695.96576 ],,,,[ 12.95122 691.0244 ],[ 15.518249 691.708   ],[ 11.935715 683.9286  ],,[ 13.562044 671.      ],[  5.768595 668.85126 ],,,[ 11.888889 667.6746  ],,[ 18.955751 668.0885  ],[ 11.7    670.1308],[ 11.325203 671.5935  ],[  9.966387 670.      ],[ 14.24138 670.31036],[  9.260504 674.7311  ],[ 13.730159 670.4524  ],[ 11.603306 669.7686  ],[ 10.730159 668.96826 ],[ 18.943548 671.0323  ],[ 24.5     652.73334],[ 18.960785 646.77454 ],[ 24.714285 650.5619  ],[ 33.034187 645.18805 ],[ 39.05   648.7083],[ 39.05512 641.51184],[ 32.02479 642.438  ],[ 36.080154 645.1641  ],[ 35.339767 641.0888  ],[ 46.573032 645.43256 ],[ 37.06154 647.3    ],[ 35.4375 644.375 ],[ 35.820755 657.18866 ],[ 19.810184 658.9537  ],[ 17.352942 662.9559  ],[ 18.093023 663.7442  ],[ 25.565022 657.7713  ],[ 23.983192 658.15125 ],[ 20.165 660.08 ],[ 17.964706 668.      ],,,,,,[ 10.791305 667.34784 ],[ 15.445378 666.5966  ],[ 18.192593 665.0963  ],[ 17.844961 665.2868  ],[ 15.908334 664.9083  ],[ 15.6953125 667.0078   ],[ 16.96923 666.26154],[ 19.      668.49194],[ 10.235 660.925],[ 12.525 656.36 ]
10,,,,,,,,[ 57.  611.5],[ 68.18519 603.4815 ],[ 71.902176 606.9239  ],[ 69.83465 610.03937],[ 81.84821 606.375  ],[ 91.94175 606.3981 ],[ 94.25984 604.68506],[ 88.969925 611.4361  ],[ 88.93077 615.81537],[ 91.88983 630.87286],[ 93.318184 652.6818  ],,,,,,,,,,,,,,,,[110.47143 660.4429 ],,,,,[120.58064 663.1613 ],,,,,,,,,,,,,,,,,,[111.04918 652.1967 ],[110.58064 651.629  ],[118.31159 649.2536 ],[114.34884 648.03876],[123.40476 646.18256],[128.06107 647.603  ],[118.152176 644.86957 ],[123.89474 647.1353 ],[122.809525 646.9143  ],[125.566666 642.      ],,,,,[119.84034 653.     ],[122.09091 656.60333],[113.3609 648.985 ],[120.9009  651.54956],[115.41722 649.21857],[122.00585 656.51465],[128.10219 661.45984],[135.34966 655.7413 ],[137.54616 654.82306],,,,,,,,[131.525  664.1583],[133.46017 670.23895],[137.32478 678.7863 ],[140.06363 678.88184],,
