,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
20,,,,,,,,,,,,,,,,,,,,,,,,[518.2308 635.1923],[518.6667 639.3333],[513.6316 642.668 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,[484.88135 618.38135],[492.7037  627.90125],[500.9931  622.66895],[494.741  635.3741],[495.2093  632.97095],[502.02325 655.3333 ],[488.75293 656.24115],[491.30292 656.7054 ],[490.5101 652.8788],[498.59784 649.01086],,,[499.05127 635.37177],[502.9091 633.1717],[498.44644 632.0446 ],[492.31415 640.70795],[490.16742 634.0045 ],[486.1293  646.51294],[480.2994  657.87427],[487.67664 647.2395 ],[479.376 649.42 ],[479.32092 648.88837],[480.35623 644.03   ],[485.6879  642.19745],[480.36102 647.2383 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,[515.283   631.01886],[514.3719 637.3719],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,[507.05698 639.6076 ],[507.33835 646.4737 ],[510.583  651.1969],[504.93814 658.7371 ],[511.86264 656.8077 ],[513.8889  670.13074],[505.991  658.9459],[508.28055 661.3665 ],[506.49753 657.79803],[487.23254 661.43024],[485.67358 672.6062 ],[480.67032 665.6044 ],[476.16177 652.1103 ],[474.3233 653.3083],[468.4054 648.3446],[479.14926 642.51495],[478.20325 634.04065],[473.70456 650.24243],[463.2446 650.5899],[472.17734 654.4138 ],[463.55737 665.4426 ],[464.55295 668.6353 ],[470.95  658.525],[475.95   656.6375],[470.46512 659.81396],[474.03333 662.04443],,[473.95746 667.07446],[469.97562 670.1951 ],[467.32895 671.1316 ],[466.09024 668.6692 ],[469.21347 670.     ],[477.75894 667.2679 ],[480.67328 669.53467],[470.70786 669.26965],,[469.92474 667.8495 ],[467.6813 661.4286],[461.21686 668.77106],[465.7158 662.9158],[457.9684  662.34735],[465.1059 672.8588],,[468.50296 664.3373 ],[470.42056 663.5607 ],[471.58975 659.04614],[459.455 653.84 ],[470.    659.677],[475.4    661.2375],[473.44632 666.3955 ],[479.41147 663.2656 ],[467.7843  677.48364],[464.1141  676.55035],,[463.54544 677.4965 ],[466.0764  674.19446],[473.84668 668.5    ],[472.46054 668.9408 ],[471.1154  669.47437],[467.98148 669.03705],[466.65643 669.50305],[468.09445 671.45   ],[462.3718 669.25  ],[464.85947 666.8865 ]
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,[482.9114 688.3291],[493.04132 679.64465],[483.76364 682.8091 ],[494.22858 684.9143 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[518.08 643.52],[515.5673  644.24036],[514.86456 638.09375],,[514.05804 640.4839 ],[514.6913 644.2617],[513.9874 639.327 ],[510.9427 645.9809],[513.0066 657.2434],[507.08047 651.3333 ],[507.7976 640.4881],[508.7549 643.4706],[506.19424 639.84894],[508.7802  641.47253],,[506.47888 642.24414],[498.4153 639.4153],[500.15958 648.     ],[517.12 650.84],[516.0641 650.6539],[516.66174 649.4559 ],[519.  654.5],,[516.4429 654.3   ],[515.8953 652.407 ],[515.3587  650.98914],[517.119  654.2619],[516.4706 656.5294],[509.92792 656.1622 ],[500.67926 654.6321 ],[509.55264 649.3333 ],[505.7     643.05457],[505.21774 649.85486],[502.5221  645.95984],[507.36 630.16],[499.35898 642.2205 ],[492.12216 649.66516],[499.94806 648.     ],[495.43314 648.0573 ],[506.6479 646.669 ],[504.75818 658.6667 ],[513.78064 669.3871 ],[501.69656 671.7241 ],[510.07285 656.0927 ],[512.8187  657.72516],[507.92908 663.0922 ],[505.3662 664.7042],[507.46716 664.38684],[512.4894  662.03546],[516.1682  662.62616],[515.3789 667.0373],[517.0571  667.54285],[513.8471  666.70703],[516.30273 665.5505 ],[518.0571  665.34283],[518.2414 664.931 ],,,,,,[517.4528 665.    ]
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[514.3522  632.06287],[517.38776 632.1429 ],[517.1852 625.5   ],,[515.5    626.7037],[516.86566 629.1045 ],[516.2381 625.0833],,,,[518.3077 624.3461],,,[518.087   627.56525],[514.6548 626.1012],[513.37866 634.1165 ],,,,[509.0098 631.098 ],[504.988 635.672],[510.47235 636.6784 ],[504.5656  640.41626],[507.8362  632.15515],[500.29245 637.26886],[514.     638.3366],[503.8832 640.9489],[501.35114 642.1985 ],[511.46512 635.24805],[517.871  635.9355],,,[519. 633.],,,,,,,,,,,,[519. 637.],,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[504.44446    6.288889],[511.85     8.7875],,[504.39774   7.875  ],[508.39774   12.784091],[501.5408    12.867347],,,,[502.69232   10.467033],,,[500.82257   19.129032],,[492.53043   13.321739],[487.84375   9.75   ],[501.5764      6.8055553],[495.94736   10.017544],[493.92188     6.4140625],[492.44   8.66],[498.06195    8.911505],[500.72916   10.520833],[503.6979   12.53125],,,,,,[494.95715  21.6    ],[506.7447    14.829787],[511.458    16.19084],[502.12122   17.371212],[506.23972   18.780823],[505.4567    17.921259],[502.68182   15.166667],[501.34885   18.503876],[511.4079    11.171053],[511.1218      7.8461537],,,,[514.52594   11.592592],,,,,,,,,[503.9784     8.016216],,[507.5618    10.213483],[504.60416   12.895833],[500.3587    12.717391],,,[498.17273  18.6    ],[512.5172    19.637932],[509.3985    18.646616],[511.53845   14.369231]
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[507.61404   14.315789],[507.5521  17.5   ],,[499.52222   15.155556],[505.06305   21.414415],[501.9826    22.591305],[496.2069    21.045977],,,,[500.96722   21.868853],[488.27274   21.504131],[494.43243   9.27928],[499.0729      3.8020833],[493.43375    4.481928],[489.78125   1.34375],,[494.65308     1.8163265],,[496.81357     2.0338984],[505.93405    3.912088],,,[497.89285     3.7738094],[494.28183   6.4    ],[497.25433    6.052023],[496.45026     7.9424086],,[493.5306      3.3367348],[499.89908   4.40367],[508.6988      2.4578314],[499.2268     4.010309],[501.39716    5.865248],[497.11972    6.056338],[498.67648     3.4411764],[495.68216     5.6434107],[500.5        4.544643],[496.09286   4.85   ],,[501.27777   2.375  ],[497.225       3.5416667],,[506.45883   2.     ],,[502.68518    3.925926],[502.0877      3.8070176],[502.01562     3.7265625],[504.15842     3.4752476],[501.3111   4.5   ],[497.15308     4.4897957],,,[501.47916  16.625  ],,,,,,[503.17346   23.367348],[500.84467   25.407766],[502.8       21.636364]
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[112.81768 366.94476],,[116.022224 367.78888 ],[115.916664 361.1574  ],[121.27434 364.92035],[119.55696 365.05063],,[118.07692 364.     ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
