,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[116.         14.0570345  10.572564 ],,,[100.        12.525156  10.200023],,[88.       10.990605 10.335487],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[84.       11.555724  9.230504],,,,,,,,,,,,,,,,,,,,,[159.        22.141811  10.704657],[103.        12.838337  10.258318],[103.        12.270489  10.731389],[150.       15.12311  12.74401],,[182.        18.624855  12.632849],[240.        20.822065  15.48142 ],[126.        18.252357   9.279803],[126.        13.611374  11.940575],[132.        14.425173  11.701318],[103.        15.134531   8.840123],[109.        14.219855   9.941818],[122.        13.949718  11.399577],[116.         14.4789095  10.316845 ],[203.        21.161892  12.505892],[195.        21.678947  12.144748],[126.        13.941654  11.619335],[188.        18.349173  13.342345],[185.        18.098644  13.346982],[193.        20.862043  12.297849],[117.        13.981653  10.800117],[211.         20.93002    13.2503395],[121.        13.315994  11.61705 ],[113.        13.368349  10.843654],[123.        13.809963  11.426949],[115.         12.918929   11.4291315],[117.         12.5727825  11.9345665]
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[98.       11.650261 10.737247],[108.        12.12459   11.341794],,[109.        12.278334  11.359749],[128.        15.346645  10.623898],[89.        11.9240055  9.858903 ],[92.       11.190562 10.525154],[102.        11.621933  11.163678],[109.        12.142646  11.497999],[104.        12.255019  10.816969],[103.        12.317435  10.649325],[101.        12.240878  10.505896],[110.        13.085831  10.706021],[111.        13.176293  10.744652],[104.        11.619682  11.382438],[117.        12.885295  11.576082],[104.        12.253363  10.796192],[109.        12.878299  10.823983],[104.        12.447943  10.643214],[110.        12.373891  11.405967],[146.        15.038749  12.47304 ],[98.       11.96151  10.526625],[205.        20.603388  13.033435],[109.        13.045246  10.914201],,[168.        16.761282  12.881872],[128.        14.402061  11.355777],[81.       11.28933   9.227562],[109.        15.960821   8.831758],[187.        21.519796  11.482156],[176.        20.418362  11.611728],[180.        18.919146  12.433397],[186.        18.726215  12.924772],[67.       10.641587  8.104497],,,[65.       10.530086  8.037318],,,,[80.       12.089459  8.93714 ],,[96.       13.525713  9.241619],[93.       12.474457  9.646685],[91.       11.900531  9.800664],[95.       12.293305  9.954654],[90.       11.502703 10.064283]
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[94.        12.6084795  9.743821 ],[106.        12.408191  10.883463],[65.       11.856723  7.306147],[93.       11.97539   9.971628],[82.       11.934782  8.836677],,,,,,,,,[51.       10.902133  6.501951],[99.       11.989635 10.503132],[13.         8.993862   1.8359746],,[37.       11.660748  4.275136],,,,,[50.        10.898044   6.2459464],[87.       11.49088   9.784215],,,[40.        10.41615    5.0382366],[22.         9.704732   2.9986222],[118.        14.331447  10.675761],[145.        17.072931  12.382198],[35.        7.835023  6.426489],[28.        10.890434   3.8025866],[4.       4.472136 0.      ],,,[15.         9.147286   1.9477739],,[37.       11.247934  4.598056],,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[17.         7.6505566  2.9835398],,,,,,[22.         7.0323925  4.1140757],,,[104.        12.346049  10.963141],[142.        19.621141  10.326102],[125.         14.7082405  10.928736 ],[145.        21.015749   9.169785],[230.        21.657427  13.758005],[223.        21.82119   13.309725],,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[70.       10.954336  8.555561],[79.       12.117284  8.684937],[110.        12.034977  11.670929],[114.         12.3115835  11.821028 ],[124.        13.683881  11.549878],[120.         13.604719   11.2123165],[100.        12.697048  10.281058],[124.        13.461717  11.771705],,,[120.        13.493348  11.367038],[120.        13.73571   11.438349],[140.        14.039619  12.771176],[153.        15.72308   12.455552],[134.        14.095792  12.132469],[133.        16.506819  10.336408],[141.        14.082728  12.759304],[111.        12.243326  11.54877 ],[134.        13.773444  12.463338],[160.        17.312658  12.097907],[128.        13.439035  12.418473],[143.        14.96447   12.399928],[129.        13.722538  12.132547],[132.        14.567142  11.690823],[123.         15.029438   10.6121235],[127.        16.03544   10.447651],[137.        15.233699  11.793328],[161.        16.551384  12.659272],[151.        16.988224  11.400437],,,[156.        17.688011  11.364998],[125.        15.796863  10.160176],[135.        15.403006  11.214198],[136.        15.17188   11.441784],[136.        14.984019  11.62691 ],[129.        14.817373  11.169314],[222.        22.67388   13.002278],[211.        21.806137  12.982063],[199.        20.421011  12.762272],[181.        17.959951  13.245416],[180.        19.449053  12.036858]
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[85.        12.5067835  8.809779 ],[85.       11.378161  9.619538],[189.        17.31271   14.791853],[102.         12.8729105  10.1827135],[131.        14.596052  11.583358],,[145.        15.257008  12.166969],[145.        15.003888  12.321269],[147.        15.092058  12.412998],[142.        14.134573  12.796098],[131.        13.0326    12.845446],[138.        15.155385  11.66351 ],[157.        17.40111   11.544178],[156.         16.2043     12.3464365],[146.        15.78613   11.967736],[158.        15.808245  12.776073],[166.        17.084263  12.500438],[162.        15.393727  13.401748],[161.        16.477074  12.502124],[137.        15.388428  11.459267],,[122.        15.051343  10.558113],,[66.       10.515906  8.065714],,,,,,,,,,,,,,[91.       12.100771  9.686502],[84.        10.6048565 10.24018  ]
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[80.       11.235901  9.122748],,[92.       11.166111 10.655741],[94.       12.009437 10.076384],[112.        12.716724  11.385991],[106.        13.460756  10.136481],[104.        13.845238   9.781954],[244.        18.74422   17.496267],[229.        20.013494  14.972309],[122.        15.092131  10.499164],[144.        16.748178  11.121804],[195.        22.053604  11.733901],[82.       11.975363  8.901234],[121.        16.179197   9.739529],[84.       11.021147  9.739072],[131.        16.902876  10.227101],[124.         13.871693   11.5199995],[110.        14.790941   9.823818],,,[90.        11.499102  10.1096115],[91.       11.69037  10.019225],,[157.        16.614027  12.302723],[172.        17.343973  12.988658],[167.        15.609323  14.206948],[177.        16.966974  13.654627],[165.        16.075306  13.172717],[169.        15.743579  14.221286],[164.        16.327871  13.171194],[182.        16.063925  14.861703],[166.        15.209121  14.229149],[178.        15.593587  14.727873],[310.       26.75583  14.9397 ],[171.         15.68954    14.6473875],[179.        16.019976  14.551882],[216.        19.589134  15.03177 ],[184.        17.898218  13.310801],[202.        21.04189   12.514295]
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[73.        12.548215   7.5586143],[125.        17.986473   9.812326],[144.        16.95494   11.498719],[88.       11.655074  9.647514],[84.       12.330944  9.149673],,[98.       13.334379  9.599488],,,,,,,[143.        15.173384  12.321787],[120.        13.427203  11.459018],,[41.       13.160153  4.109463],[130.        15.986897  10.667772],[13.         6.8388033  2.5372958],,[28.        11.783766   3.0904725],[73.       11.321834  8.364873],[68.        15.012532   6.1608486],[79.       14.746965  7.401753],[62.        14.50695    6.1314087],[8.        7.483315  1.3228756],,,,,,,,[70.        15.0996685  6.3426   ],[83.        14.959237   7.4599633],[70.        14.809262   6.3374515],[22.        10.627149   2.8382115],[92.        16.082554   7.6448717],
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[26.         7.878613   4.3770113],,,,,[28.         9.936489   3.7716532],,,,,,,[10.         6.         1.9595917],,,,,[12.         7.118052   1.9720266],[40.        8.842918  6.048371],[4.       4.472136 0.      ],,,,[12.         7.118052   1.9720266],,,[6.        6.8313007 0.       ],,,[37.        8.879813  5.479817],,,,,,,,[4.       4.472136 0.      ],
